




















Sno,Reg. No,Quiz 1(20),Asign 2(20),Quiz (20),TERM PAPER (30),Quiz+ Assig (90),Quiz+ Assig (15),Test (1) 40,Test 2(40),Test (80),Test (15),Test+ Assig (30),q1,,,,,,,,,,,
1,25060/T.2020,15,14,14,18,61,10.16666667,29,27.5,56.5,10.59375,20.8,,,,,,,,,,,,
2,25089/T.2020,14.5,14,11,18,57.5,9.583333333,33,26.5,59.5,11.15625,20.7,,,,,,,,,,,,
3,25094/T.2020,15,,14.75,16,45.75,7.625,31,32.5,63.5,11.90625,19.5,,,,,,,,,,,,
4,25104/T.2020,13,2,14,21,50,8.333333333,27,32,59,11.0625,19.4,,,,,,,,,,,,
5,25112/T.2020,1.5,15,10.5,21,48,8,28,30.5,58.5,10.96875,19.0,,q2,q3,q4,q5,q6,q7,UE (100),UE (70),CA+UE (100),Grade ,Remarks
6,25108/T.2020,11,13,11.5,24.5,60,10,23.5,23.5,47,8.8125,18.8,,,,,,,,,,,,
7,25076/T.2020,14,14,13,18.5,59.5,9.916666667,19.5,27.5,47,8.8125,18.7,,,,,,,,,,,,
8,25075/T.2020,16,13.5,13.5,24.5,67.5,11.25,13,25,38,7.125,18.4,,,,,,,,,,,,
9,25117/T.2020,2,15,14,22,53,8.833333333,21,29.5,50.5,9.46875,18.3,,,,,,,,,,,,
10,25116/T.2020,13,13,12,22,60,10,18,25.5,43.5,8.15625,18.2,,,,,,,,,,,,
11,25083/T.2020,14,10,13.5,18.5,56,9.333333333,26,21,47,8.8125,18.1,,,,,,,,,,,,
12,25087/T.2020,13,2,13,18.5,46.5,7.75,32,22.5,54.5,10.21875,18.0,,,,,,,,,,,,
13,25102/T.2020,12.5,15,14,16,57.5,9.583333333,26,18.5,44.5,8.34375,17.9,,,,,,,,,,,,
14,25092/T.2020,13,1.5,1.5,25,41,6.833333333,30,29,59,11.0625,17.9,,,,,,,,,,,,
15,25046/T.2020,11.5,13.5,15,18.5,58.5,9.75,22,20.5,42.5,7.96875,17.7,,,,,,,,,,,,
16,25039/T.2020,14,13.5,15,16,58.5,9.75,20,22.5,42.5,7.96875,17.7,,,,,,,,,,,,
17,25049/T.2020,1.5,1.5,15.5,25,43.5,7.25,28,26,54,10.125,17.4,,,,,,,,,,,,
