,PROPOSED  NMB  BANK PLC MAFINGA BRANCH,,,, T SHS ,,,,

,BILL NR …. - ELECTRICAL INSTALLATIONS,,,,,,,,

1,BILL 1-POWER SUPPLY,,,,,,,,

,"""Fix only "" the following  distribution boards to be supplied by the client:",,,,,,,,
A,"4 way TPN, bus bar rated at 250A at 400V, 50Hz and short circuit withstand of 36kA for 1sec. wall mounted rigid folded sheet steel construction with removable gland plates and end walls to IP4X protection panel board comprising of 1 No. three Pole 160A MCCB incomer and MCCB out-goers as shown in the schematics",1,Nr,"6,400,000 "," 6,400,000.00 ",,,,
,,,,, -   ,,,,
B,6 way TPN distribution board with MCB outgoers and  63A/300mA TPN RCCB incomer ,1,Nr,"2,560,000 "," 2,560,000.00 ",,,,
,,,,, -   ,,,,
C,4 way TPN distribution board with MCB outgoers and 63A/300mA TPN RCCB incomer ,1,Nr,"2,240,000 "," 2,240,000.00 ",,,,
,,,,, -   ,,,,
D,Reinstall the existing 8 way TPN distribution board with MCB outgoers and  63A/300mA TPN RCCB incomer ,1,Nr,"448,000 "," 448,000.00 ",,,,
,,,,, -   ,,,,
E,Reinstall the existing 4 way TPN distribution board with MCB outgoers and 63A/300mA TPN RCCB incomer ,1,Nr,"416,000 "," 416,000.00 ",,,,
,,,,, -   ,,,,
,"Supply and install the following  cables from Main switch board to sub-boards  and from sub-board to distribution boards, complete with glands, lugs and shrouds:",,,, -   ,,,,
,,,,, -   ,,,,
F,4x50mm2 PVC/SWA/PVC/Cu from  ATS to SB,40,m,"160,000 "," 6,400,000.00 ",,,,
,,,,, -   ,,,,
G,4core 16mm² PVC/SWA/PVC/Cu for SB to DB A,10,m,"52,800 "," 528,000.00 ",,,,
,,,,, -   ,,,,
H,Ditto but to DB B,10,m,"52,800 "," 528,000.00 ",,,,
,,,,, -   ,,,,
H,Ditto but to DB C via Inverter,20,m,"52,800 "," 1,056,000.00 ",,,,
,,,,, -   ,,,,
H,Ditto but to DB D,30,m,"52,800 "," 1,584,000.00 ",,,,
,,,,, -   ,,,,
I,300mmx50mm GMS cable tray for distribution of data/tel cables,50,m,"88,000 "," 4,400,000.00 ",,,,
,,,,, -   ,,,,
J,63A TPN isolator for UPS/INVERTER,1,Nr,"320,000 "," 320,000.00 ",,,,
,,,,, -   ,,,,
,,,,, -   ,,,,
,SUB TOTAL FOR POWER SUPPLY,,,, -   ,,,,
,,,,, -   ,,,,
,,,,, -   ,,,,
2,WIRING OF SUB-CIRCUITS,,,, -   ,,,,
,,,,, -   ,,,,
,Supply and install the following:,,,, -   ,,,,
,,,,, -   ,,,,
A,Outlet point for 13A switched socket comprising of 3x2.5mm2 PVC/Cu cables wired in ring main circuit and installed in 20mm diameter  PVC conduits and 3 compartment trunking complete with all accessories excluding the 13A switched socket outlet,78,Nr,"52,800 "," 4,118,400.00 ",,,,
