,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,BUYING PRICES,,
No. ,Item to be supplied and installed ,Quantity,Unit, Unit Price(TSH) , Amount (TSH)  ,RATE,AMOUNT,
1,"Gigabit Switch, 1 Mini USB Console port, 4 GE auto-adaptive SFP+ ports; 2 power slots, hot-swap power supply, the cooling fan, 1U, 19"" rack mount,(Ditribution and core switches)",#NAME?,Pc," 2,720,000.00 ",#NAME?,#NAME?,#NAME?,
,,,,,,,,
2,cat 6  UTP indoor  cable(For direct interlinking of access switches to distribution switches),5,boxes," 450,000 "," 2,250,000.00 "," 300,000.00 "," 1,500,000.00 ",
,,,,, -   ,,,
3,"Installlation accessories  Rj45,boots",1,Item," 250,000 "," 250,000.00 ",," 100,000.00 ",
,,,,, -   ,,,
4,Installation charges,1,Item," 1,200,000 "," 1,200,000.00 ",,,
,,,,,,,,
,SFP MODULES(DUPLEX),6,,,," 150,000.00 "," 900,000.00 ",
,PATCH CORDS ,6,,,," 20,000.00 "," 120,000.00 ",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,  
