"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"          ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Supply, Installation and maintanance of Telecoms Networks and Equipments, PABX and Unified Communication, Networking and Connectivity Solutions,CCTV, Access Control Systems, Fire Alarm systems, Electric Fence System,  Electrical and power systems,CAR track solutions and All Types of Office Automation Equipments ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"REGISTERED CONTRACTOR IN ELECTRICAL (CLASS TWO) ___TELECOMMS, ICT AND SECURITY SYSTEMS (CLASS ONE)__HVAC(CLASS TWO)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Office: Mbezi Beach Africana, Plot No. 2283, Block H, Tarangire Street, Bagamoyo Road/Africana Drive, P.O. Box 31257, Dar es Salaam, Tanzania  Tel/Fax: +255 22 2701611, Cell: +255 713 899 309, +255 767 598691       : Email: info@teratech.co.tz, Website: www.teratech.co.tz                                                               
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUOTATION   FOR  SUPPLY AND  INSTALLATION OF  CCTV SYSTEM AT AICC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bill To:","MANAGING  DIRECTOR ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","AICC","","","Date:","10/9/2023","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","P.O. Box 3081","","","PI.No:","TTEL/2023/AICC/04","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","ARUSHA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","VRN:  40-012572-C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","TIN:   114-690-775","","","","","BUYING PRICES","","","","","","","","","","","","","","","","","","","","","","","","",""
"No. ","Item to be supplied and installed ","Quantity","Unit","Unit Price(TSH)","Amount (TSH) ","RATE","AMOUNT","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Gigabit Switch, 1 Mini USB Console port, 4 GE auto-adaptive SFP+ ports; 2 power slots, hot-swap power supply, the cooling fan, 1U, 19"" rack mount,(Ditribution and core switches)","8","Pc","  2,720,000.00 ","  21,760,000.00 ","  7,008,256.00 ","  7,008,256.00 ","SWITCHES +SFPs","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","cat 6  UTP indoor  cable(For direct interlinking of access switches to distribution switches)","5","boxes","  450,000 ","  2,250,000.00 ","  300,000.00 ","  1,500,000.00 ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","  -   ","","","","","","","","","","","","","","","","","","","","","","","","","",""
